bookID,title,average_rating,isbn,isbn13,language_code
39763,"The Mystical Poems of Rumi 1: First Selection  Poems 1-200"",""authors"":""Rumi/A.J. Arberry""",4.28,226731510,9.78023E+12,eng
17946,"Seven Nights"",""authors"":""Jorge Luis Borges/Eliot Weinberger",4.33,811209059,9.78081E+12,eng
32637,Imajica: The Reconciliation,4.42,61094153,9.78006E+12,eng
28869,P\u00e9gate un tiro para sobrevivir: un viaje personal por la Am\u00e9rica de los mitos,3.81,8439720033,9.78844E+12,spa
8598,Eats  Shoots & Leaves: Why  Commas Really Do Make a Difference!,4.15,399244913,9.7804E+12,eng
10970,Outlander,"3.85"",""",184416411X,9.78184E+12,eng
14258,English Passengers,4.06,399244913,9.7804E+12,eng
44145,The Bar on the Seine,3.69,143038311,9.78014E+12,en-US
44229,The Silver Pigs (Marcus Didius Falco  #1),3.94,345369076,9.78035E+12,eng
2543,Las intermitencias de la muerte,4,9587043642,9.78959E+12,spa
1226,Life of Pi,3.91,156030209,9.78016E+12,en-US
25257,"Mein Urgro\u00dfvater  die Helden und ich"",""",4.3,3551552711,9.78355E+12,ger
10767,Merde!: The Real French You Were Never Taught at School,3.96,684854279,9.78068E+12,eng
33308,There's No Toilet Paper . . . on the Road Less Traveled: The Best of Travel Humor and Misadventure,3.38,1932361278,9.78193E+12,eng
29680,The Coen Brothers: Interviews,3.82,1578068894,9.78158E+12,eng
9742,The Audacity of Hope: Thoughts on Reclaiming the American Dream,3.75,307237699,9.78031E+12,eng
15004,First Love: A Gothic Tale,3.19,088001508X,088001508X,eng
32816,The Canterbury Tales: Fifteen Tales and the General Prologue,3.95,393925870,9.78039E+12,enm
2912,Escape from Fire Mountain (World of Adventure  #3),3.67,440410258,9.78044E+12,eng
2123,"The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life"",""authors"":""Nancy L. Mace/Peter V. Rabins",4.24,446618764,9.78045E+12,eng
